word	coef	occ_gemini	occ_human
parts	-1.0946587443116516	290	31
solve	-1.0405582839823113	419	228
line	-0.8807781014331968	681	405
rows	-0.7773152917129815	251	35
result	-0.7686068858313475	214	49
input	-0.7143187666472857	357	517
history	-0.6886221052453394	44	0
connections	-0.6868720348891518	80	23
append	-0.6806590585853916	451	381
ny	-0.6799283273721768	59	64
secret	-0.679721380674466	71	46
direction	-0.6774432383941235	241	63
cols	-0.6674769664730817	222	24
total_sum	-0.6528409937135197	44	0
module_name	-0.6391794458137674	59	0
elif	-0.6273023652396217	339	161
visited	-0.5785089389944984	226	78
char	-0.5732521640713455	187	92
count	-0.5731347175949806	366	167
except	-0.5684813466402574	49	4
schematic	-0.5646164150097384	61	10
computers	-0.5576231814882042	27	0
try	-0.549499816951332	48	9
break	-0.54302531986084	181	101
txt	-0.5374046170144241	140	50
component	-0.5331975443268574	97	7
card	-0.5193053398123468	75	47
lines	-0.5165118310980172	243	162
current_value	-0.5115696984635347	25	0
connection	-0.49609771775175254	102	24
hailstones	-0.49429438361981065	30	7
grid_size	-0.48762585201863273	11	0
safe_count	-0.4875758928076067	12	0
grid	-0.48366434226953864	536	397
registers	-0.47992383596487115	49	16
strip	-0.47685466929964787	269	189
main	-0.4745203163654505	102	84
platform	-0.4684905422829402	92	0
if	-0.46249568949476716	1712	1730
true	-0.45168678102501786	0	5
current_pos	-0.4441969604501325	41	0
keypad_char	-0.4426647571781923	24	0
opcode	-0.4328794689744756	45	3
hold_time	-0.43222997322351986	14	0
nc	-0.4321218187677982	381	177
new_robot	-0.4311141868580915	66	0
checksum	-0.42570948241977336	23	3
other_start	-0.4217402188319949	23	0
float	-0.41769456627328283	56	6
possible	-0.4138258944932226	93	26
quadrant_counts	-0.41251549817004113	30	0
universe	-0.4075933166008662	113	0
settled_bricks	-0.40596464899271806	24	0
expanded_universe	-0.4051562322750874	67	0
queue	-0.4023903644793903	138	98
end_coords	-0.39830245442062	27	0
nr	-0.395238387006083	165	12
file	-0.3900568651494947	125	197
design	-0.38835381317576234	47	18
inf	-0.38768679433177927	66	59
c1	-0.3834235283873179	45	49
subset	-0.37978507689011864	34	0
disk_map	-0.37825263011629096	20	3
matches	-0.3780501796417762	18	0
start_coords	-0.37213774482242806	28	0
bfs	-0.371899663119684	35	3
total_complexity	-0.3713060548536336	15	0
current_workflow	-0.3702836597093412	31	0
stone	-0.36913895049966633	106	80
int	-0.36693157013569994	688	1083
current_arrangement	-0.3652346955961982	28	0
new_col	-0.36367057946007364	56	0
memory	-0.3634025433328714	26	21
apply_map	-0.3629027869331968	40	0
left_list	-0.36260499722660766	36	0
right_list	-0.36260499722660766	36	0
target_pos	-0.36045691702571153	11	0
mul_instructions	-0.3586883540759747	6	0
machines	-0.352538778747614	36	12
disk_repr_list	-0.34879701092666937	8	0
is_part_number	-0.3446875275482879	17	0
file_blocks	-0.3434187676050526	16	0
neighbors	-0.3408353251829823	164	25
final_map	-0.339477426311568	13	0
maps	-0.33888379006719227	51	9
left_half	-0.3379025357665329	10	0
right_half	-0.3379025357665329	10	0
counts_values	-0.3368832089638568	22	0
eoferror	-0.3337757313201372	0	0
new_robot_row	-0.3305493965405267	34	0
memory_space_size	-0.32883299720344084	7	0
pulse_type	-0.3261707997666072	37	0
new_robot_col	-0.3236195729299369	34	0
file_lengths	-0.3217720561014101	8	0
update_nums	-0.3204521284494956	10	0
instruction_pointer	-0.3202427762470705	26	0
map_data	-0.3200046387749793	29	0
diff_seq	-0.3175366677922257	16	4
61	-0.3162663656764598	42	14
current_node	-0.31575983788845774	25	0
expression	-0.3136464883062286	24	0
disk_blocks	-0.3108812795383237	11	0
file_index	-0.31035651198379394	14	4
29	-0.3066861509978833	53	20
game_id	-0.3057538735368419	19	0
new_row	-0.30558873666485126	68	7
wire_values	-0.3032370368675735	18	0
current_group_size	-0.30169175906339146	18	0
instruction	-0.29840877649974196	80	124
readlines	-0.29447182094699653	27	0
total_hash_sum	-0.29159089607657157	12	0
condition	-0.29008210549177765	38	4
possible_count	-0.28468123239703524	9	0
total_points	-0.28232809285555793	18	0
match	-0.281443005052218	86	82
steps	-0.2810149214111203	78	103
parse_schematic	-0.2807080400540679	14	2
distance	-0.27999006888115335	114	25
__main__	-0.2796292593956516	68	75
53	-0.27750094251067947	39	15
travel_time	-0.2750823738063413	9	0
97	-0.27473564697705055	36	10
__name__	-0.2745650404708316	68	76
report	-0.2727552087468645	50	31
range	-0.27228344049279507	498	580
other_end	-0.27179962883480707	20	0
ops	-0.26790642830463507	48	20
return	-0.2672760191820668	654	940
row	-0.26657412080706305	836	380
word_search	-0.26286784652302014	15	0
machine	-0.26284061446639306	53	25
none	-0.2622588333558639	0	1
temp_wiring	-0.26127394530470216	20	0
leftmost_free	-0.26113648177812904	10	0
r1	-0.26108297720117296	46	14
temp_box	-0.26067369437931104	22	0
subsets	-0.25942706129030413	20	0
13	-0.25878078672436644	63	34
robot_row	-0.25809638703765453	63	0
new_platform	-0.25790580036201455	24	0
levels	-0.25728017214587917	23	22
new_arr	-0.254461264685148	10	0
destination	-0.2543794676383339	46	4
total_distance	-0.2543690262652001	30	0
rules_str	-0.2540652151358352	20	2
calibration_values	-0.2540504226972531	12	0
is_decreasing	-0.2538526540790368	8	0
is_increasing	-0.2538526540790368	8	0
row_index	-0.2518763005249817	10	0
robot_col	-0.2513912767472041	63	0
col_diff	-0.24957637500093852	10	0
row_diff	-0.24957637500093852	10	0
positions	-0.2472120710568727	34	42
test_value	-0.24563456222857272	25	0
47	-0.24560056073576483	36	13
best_cost	-0.2435320123172503	9	0
disk_chars	-0.24344567541197726	4	0
process_pulse	-0.24238419326172422	25	0
file_ids	-0.24132904207605763	6	0
new_stones	-0.24103822724522203	24	9
shortest_path	-0.24083956909244317	32	16
with	-0.23956039867523896	188	148
curr_diffs	-0.238276309877328	9	0
digit	-0.23755154262815445	41	56
numeric_part	-0.23355396914392934	8	0
a_count	-0.23170546204518744	16	0
b_count	-0.23170546204518744	16	0
corrupted_coords	-0.23136298141317738	6	0
wiring_diagram	-0.22814873714028702	22	0
current_secret	-0.2279234087674378	9	0
brick_key	-0.22669092339945865	5	0
new_brick_pos	-0.22669092339945865	5	0
design_len	-0.22496084225172613	5	0
safety_factor	-0.22488979035320877	18	5
current_id	-0.22454953668481348	7	0
wires	-0.22390318484801214	31	39
memory_size	-0.2237369743907825	4	0
new_springs	-0.22320057684851832	8	0
stones	-0.22156727263692538	78	45
compact_disk	-0.22147301641744416	9	0
divisor	-0.22063687487913705	12	0
computer_connections	-0.2203608766942002	10	0
current_differences	-0.21980914744987626	16	0
vel	-0.21947784635797887	91	55
matching_numbers	-0.2154569300165888	12	0
parse_input	-0.21512312717991136	16	0
calibration_value	-0.21419403127976067	19	7
pass	-0.21283811621141802	19	11
low	-0.21250285685711195	108	75
key_height	-0.21230206246037356	20	0
curr_pos	-0.2122214751950326	4	0
components	-0.21212077032734192	41	7
51	-0.21179789213050834	19	1
next_value	-0.21142957785461072	25	0
half_len	-0.21070209795023184	6	0
dr	-0.21020695243828802	128	138
amount	-0.2102051670790147	5	0
command	-0.21013161434232064	6	7
c3	-0.20955681406715015	9	0
or	-0.20896024107701114	2297	3738
region_coords	-0.20848933262438316	10	0
dc	-0.20793654637629527	109	107
region_dict	-0.20765289625870345	20	0
val1	-0.20699985270114787	26	0
val2	-0.20699985270114787	26	0
input_data	-0.20639841149682048	14	0
pos_parts	-0.2059044689127945	14	0
vel_parts	-0.2059044689127945	14	0
ascii_code	-0.204627879385414	10	0
hash_algorithm	-0.204627879385414	10	0
initialization_sequence	-0.204627879385414	10	0
found	-0.2039499720207874	31	17
page1	-0.20348487696312423	11	0
is_correct	-0.2034155888925235	15	0
tokens	-0.20239220139343092	15	0
winning_numbers	-0.20133940794216823	15	0
your_numbers	-0.20133940794216823	15	0
heat_loss	-0.20065023280080652	46	0
lock_height	-0.19907913438643055	13	0
points	-0.19835674217109622	30	28
location	-0.19827540588781264	40	33
report_len	-0.19698607750775537	5	0
topographic_map	-0.19649728977697511	12	0
16777216	-0.1956733844651493	15	7
total_load	-0.19548332610734892	21	0
false	-0.19435278274149714	0	2
valueerror	-0.19402658713685206	0	0
total_wins	-0.1933195673791837	6	0
safe	-0.19267863516621556	85	47
computer_dict	-0.1923712239224836	7	0
saving	-0.19190787281794186	13	0
start_col	-0.1909505220260469	42	3
complexity	-0.1887990829167079	19	3
min_x	-0.18869886003354	11	2
min_y	-0.18869886003354	11	0
colors	-0.18850820175825375	13	0
valid_sets	-0.18846539200741347	3	0
input_str	-0.18842626509505586	19	0
computer1	-0.18645920335663102	9	0
computer2	-0.18645920335663102	10	0
dfs	-0.18625172295808387	49	8
pin_height	-0.185203667103371	9	0
total_arrangements	-0.18507381688178343	15	0
next_c	-0.1843111832589875	44	0
next_r	-0.1843111832589875	65	2
time_distances	-0.1836491291127678	6	0
volume	-0.18154661416924361	19	0
source_start	-0.1814513934665984	15	0
step_count	-0.1814386815860633	9	0
key_schematics	-0.18143791988981534	8	0
lock_schematics	-0.18143791988981534	8	0
new_z_pos	-0.1813527387195667	4	0
settled_positions	-0.1813527387195667	4	0
workflows	-0.17999947446876002	22	9
invalid	-0.17913769177861483	6	0
temp_diagram	-0.1791161117493407	9	0
page2	-0.17773305891415517	11	0
next_col	-0.17741427096571122	18	0
next_row	-0.17741427096571122	18	0
initial_secrets	-0.17719099375070763	10	0
next_node	-0.1770744841110611	3	0
stone_str	-0.17666115362795692	5	0
lock_heights	-0.1758983185231558	5	0
