word	coef	occ_gemini	occ_human
parts	-1.1083356274047678	290	31
solve	-1.0551468495663463	419	228
line	-0.8716733085574937	681	405
rows	-0.7756481662924536	251	35
result	-0.764702791196082	214	49
connections	-0.7445986561762648	80	23
input	-0.7167762090127612	357	517
ny	-0.6973193333555198	59	64
direction	-0.696462497005375	241	63
history	-0.6871345154753302	44	0
append	-0.6839080220316675	451	381
secret	-0.6771702582639025	71	46
total_sum	-0.6653041452212424	44	0
cols	-0.6583162466172874	222	24
elif	-0.6405835033527797	339	161
module_name	-0.6382492038974292	59	0
computers	-0.602429346414294	27	0
count	-0.585549911002062	366	167
char	-0.5795014361131933	187	92
visited	-0.563528554053636	226	78
except	-0.5631865046515605	49	4
schematic	-0.5595202766930911	61	10
break	-0.5524543039845977	181	101
try	-0.5441380482281989	48	9
txt	-0.5328816116217964	140	50
component	-0.5314116900074888	97	7
card	-0.5171862652094898	75	47
current_value	-0.5100492937077897	25	0
grid_size	-0.495510720838483	11	0
lines	-0.4929183361828532	243	162
hailstones	-0.4907808771775273	30	7
safe_count	-0.4875488370011471	12	0
strip	-0.48391948076597713	269	189
registers	-0.4830739996816075	49	16
connection	-0.4796934251103951	102	24
grid	-0.46890032166427065	536	397
platform	-0.46739481879502054	92	0
if	-0.4649629368045842	1712	1730
main	-0.458664150522639	102	84
true	-0.4525958207362102	0	5
keypad_char	-0.44808153865967043	24	0
new_robot	-0.4364321711680498	66	0
nc	-0.43146663458931817	381	177
possible	-0.4303442898003426	93	26
current_pos	-0.42928528080025186	41	0
opcode	-0.42253706503698146	45	3
quadrant_counts	-0.42037469180041304	30	0
other_start	-0.41809752225517	23	0
hold_time	-0.41653607775930884	14	0
float	-0.41188425714528715	56	6
checksum	-0.4102846287880811	23	3
settled_bricks	-0.40990168102055646	24	0
queue	-0.4074124743940573	138	98
expanded_universe	-0.407383925743128	67	0
universe	-0.4009432027193787	113	0
file	-0.3990862448589969	125	197
nr	-0.3975591996697239	165	12
end_coords	-0.3958243464508788	27	0
total_complexity	-0.3845612548826354	15	0
inf	-0.38430288202986934	66	59
matches	-0.3832404971602579	18	0
disk_map	-0.3814799574735764	20	3
subset	-0.3804086102217288	34	0
target_pos	-0.37975737098631834	11	0
mul_instructions	-0.3756409060515129	6	0
c1	-0.37214990636959344	45	49
bfs	-0.37177097907781137	35	3
left_list	-0.3711720710077776	36	0
right_list	-0.3711720710077776	36	0
current_workflow	-0.3699678385412539	31	0
design	-0.368429970604286	47	18
memory	-0.36794814327105435	26	21
current_arrangement	-0.36774832263035456	28	0
new_col	-0.36250008002898665	56	0
start_coords	-0.36087358797219393	28	0
apply_map	-0.3602619696603929	40	0
machines	-0.3544785528993929	36	12
file_blocks	-0.3509869000514193	16	0
int	-0.3503469170111749	688	1083
stone	-0.348553152665273	106	80
is_part_number	-0.3481081278858024	17	0
file_lengths	-0.34067641846490404	8	0
neighbors	-0.3387488789284944	164	25
final_map	-0.3379057465750661	13	0
counts_values	-0.3377163646357637	22	0
map_data	-0.3361968605082722	29	0
pulse_type	-0.3329393851589946	37	0
eoferror	-0.33067273321849167	0	0
diff_seq	-0.32988797561129424	16	4
61	-0.3292285199057086	42	14
expression	-0.3289407375394376	24	0
new_robot_row	-0.32547863585790493	34	0
left_half	-0.3239370627214055	10	0
right_half	-0.3239370627214055	10	0
maps	-0.3238979856240568	51	9
29	-0.3238900319055943	53	20
update_nums	-0.3198624103640563	10	0
new_robot_col	-0.31906073600612106	34	0
memory_space_size	-0.3188966694919653	7	0
instruction_pointer	-0.3146460515556502	26	0
file_index	-0.3138114732012543	14	4
disk_blocks	-0.31097424562605847	11	0
disk_repr_list	-0.30922747394021327	8	0
current_node	-0.307482945420176	25	0
instruction	-0.3065139532581111	80	124
new_row	-0.3030574207620163	68	7
game_id	-0.30057050749879277	19	0
readlines	-0.2981653171591826	27	0
steps	-0.29699182324794826	78	103
possible_count	-0.2946269508370984	9	0
total_hash_sum	-0.2942285589683612	12	0
wire_values	-0.2915934776862942	18	0
97	-0.29050349243845236	36	10
condition	-0.28824601851338516	38	4
53	-0.28548173191157034	39	15
current_group_size	-0.2848430887605243	18	0
total_points	-0.2805393494243844	18	0
levels	-0.2804488160418477	23	22
__main__	-0.27789566796403664	68	75
report	-0.27708936393106415	50	31
parse_schematic	-0.27548806630709505	14	2
r1	-0.2722636572953521	46	14
__name__	-0.2718504047103302	68	76
match	-0.2695642938509307	86	82
other_end	-0.2694042596650233	20	0
distance	-0.2693927788530032	114	25
machine	-0.26768463169090795	53	25
return	-0.2676134551741146	654	940
13	-0.26594620156795457	63	34
range	-0.26548428802252255	498	580
new_stones	-0.26407854033664363	24	9
temp_box	-0.26388921977603	22	0
disk_chars	-0.26321588335572577	4	0
ops	-0.26137514509594395	48	20
destination	-0.2610199473411329	46	4
new_platform	-0.26035536870813014	24	0
travel_time	-0.2602753245742592	9	0
rules_str	-0.26003653576648383	20	2
leftmost_free	-0.2599274973654356	10	0
47	-0.2593791074316962	36	13
robot_row	-0.25920413504183787	63	0
row	-0.25706120430036367	836	380
file_ids	-0.25550731384867786	6	0
robot_col	-0.2530219567853172	63	0
positions	-0.2521084271170263	34	42
is_decreasing	-0.2505216886938125	8	0
is_increasing	-0.2505216886938125	8	0
total_distance	-0.2500242081000162	30	0
none	-0.2497072272972123	0	1
subsets	-0.245641385577302	20	0
word_search	-0.24376051080186947	15	0
command	-0.24371658541975388	6	7
temp_wiring	-0.243216255409748	20	0
curr_pos	-0.24314580507772748	4	0
design_len	-0.2430018088024079	5	0
numeric_part	-0.24267034738060075	8	0
calibration_values	-0.24230840987244762	12	0
best_cost	-0.2402116384495878	9	0
test_value	-0.24010631868866814	25	0
new_arr	-0.24002106047402932	10	0
current_id	-0.2395444576861981	7	0
with	-0.2393413107426742	188	148
shortest_path	-0.2388943480220183	32	16
process_pulse	-0.23675206772916949	25	0
or	-0.23670977841793966	2297	3738
wiring_diagram	-0.23659246553678237	22	0
col_diff	-0.23650059488182532	10	0
row_diff	-0.23650059488182532	10	0
brick_key	-0.2359769622355282	5	0
new_brick_pos	-0.2359769622355282	5	0
row_index	-0.23575340392880995	10	0
current_secret	-0.23562939790668835	9	0
digit	-0.23307469381637153	41	56
computer_connections	-0.23149001864472996	10	0
a_count	-0.23060989717954836	16	0
b_count	-0.23060989717954836	16	0
valid_sets	-0.2305047861471077	3	0
corrupted_coords	-0.2302933466896294	6	0
region_dict	-0.2289334424037115	20	0
memory_size	-0.22742632714968214	4	0
safety_factor	-0.2264599976605924	18	5
components	-0.22329337361653054	41	7
current_differences	-0.22247651444433433	16	0
stones	-0.22197329519360706	78	45
key_height	-0.221922651363613	20	0
compact_disk	-0.2204992998342736	9	0
