word	coef	occ_gemini	occ_human
parts	-1.0844268489802347	290	31
solve	-1.0510672087378454	419	228
line	-0.8797112818837586	681	405
rows	-0.7740464535084342	251	35
result	-0.7698608407172206	214	49
input	-0.7107491147045738	357	517
history	-0.7002688218091637	44	0
direction	-0.6997563039904159	241	63
connections	-0.6979801595593065	80	23
secret	-0.6816874767812707	71	46
ny	-0.6813587827533388	59	64
append	-0.6674352267699636	451	381
cols	-0.6605719407798171	222	24
elif	-0.6533169959415254	339	161
total_sum	-0.6422243531797678	44	0
module_name	-0.6354773782914048	59	0
visited	-0.5790613498357036	226	78
count	-0.5780863659162327	366	167
except	-0.5722445110542835	49	4
computers	-0.570262859816018	27	0
char	-0.5695177070381419	187	92
schematic	-0.5570943157222714	61	10
try	-0.5524192889601768	48	9
break	-0.5389874327690637	181	101
txt	-0.5329571738483098	140	50
component	-0.5242210432460862	97	7
card	-0.5182883648037898	75	47
current_value	-0.5074603185165246	25	0
registers	-0.5004334998553246	49	16
grid_size	-0.4971249493531972	11	0
new_robot	-0.4966127028094687	66	0
lines	-0.4949034896515186	243	162
safe_count	-0.4898695301497647	12	0
connection	-0.48501905758757624	102	24
hailstones	-0.48417403152245164	30	7
strip	-0.4752825036575682	269	189
platform	-0.47308455723800086	92	0
grid	-0.47015680840016705	536	397
if	-0.46369642918902015	1712	1730
main	-0.46172849863638404	102	84
true	-0.45709957496577763	0	5
current_pos	-0.4322067204396752	41	0
nc	-0.43209003161875315	381	177
checksum	-0.42303864631357835	23	3
keypad_char	-0.42276272900365475	24	0
other_start	-0.4199973430748557	23	0
hold_time	-0.41916638782562643	14	0
float	-0.4137593399591201	56	6
possible	-0.4121318234740199	93	26
opcode	-0.41113503299017506	45	3
quadrant_counts	-0.40991520743286974	30	0
settled_bricks	-0.40794244726110945	24	0
universe	-0.4059427881680169	113	0
expanded_universe	-0.40579353522088085	67	0
memory	-0.3995062245978028	26	21
end_coords	-0.39761290147625267	27	0
design	-0.3967239106575058	47	18
queue	-0.396401568180877	138	98
nr	-0.39134128023765813	165	12
c1	-0.3912356889617523	45	49
file	-0.38437875550316336	125	197
inf	-0.3840462008008707	66	59
matches	-0.3833183721916369	18	0
total_complexity	-0.3766809668139085	15	0
start_coords	-0.374429899062461	28	0
bfs	-0.3743165462284564	35	3
target_pos	-0.37299541725046287	11	0
current_arrangement	-0.3726339321110498	28	0
left_list	-0.3713128917955439	36	0
right_list	-0.3713128917955439	36	0
disk_map	-0.3706901182517812	20	3
subset	-0.36757643227816716	34	0
current_workflow	-0.3669906906672532	31	0
new_col	-0.3653644323232051	56	0
apply_map	-0.3629816873775152	40	0
mul_instructions	-0.3609058946913218	6	0
int	-0.35206290700656306	688	1083
stone	-0.3513737377544318	106	80
disk_repr_list	-0.34805161880029784	8	0
is_part_number	-0.34662333596359973	17	0
machines	-0.34659214872601346	36	12
maps	-0.3449679524665947	51	9
counts_values	-0.34347949316211185	22	0
final_map	-0.34182399698736665	13	0
file_blocks	-0.3410851112227861	16	0
neighbors	-0.3370686625648227	164	25
eoferror	-0.33640717375196405	0	0
update_nums	-0.3360571552084234	10	0
61	-0.3332442251631354	42	14
new_robot_row	-0.33115386791776535	34	0
diff_seq	-0.3297630580220911	16	4
pulse_type	-0.3290848480682554	37	0
left_half	-0.3274739139746911	10	0
right_half	-0.3274739139746911	10	0
29	-0.32537238420267867	53	20
new_robot_col	-0.32513423621175375	34	0
memory_space_size	-0.32022939659871186	7	0
map_data	-0.31771638282968323	29	0
expression	-0.3147807630253236	24	0
current_node	-0.31227403293720496	25	0
file_lengths	-0.31208435594980166	8	0
file_index	-0.3064432726757391	14	4
disk_blocks	-0.3045972299653652	11	0
instruction	-0.30438852399367894	80	124
game_id	-0.3023024493649028	19	0
temp_box	-0.3002774482103763	22	0
new_row	-0.29862917329340066	68	7
instruction_pointer	-0.2964927458110221	26	0
current_group_size	-0.29639501142784536	18	0
readlines	-0.29419468268490223	27	0
97	-0.2900752218601774	36	10
steps	-0.28980344143651454	78	103
53	-0.2895307307501277	39	15
total_hash_sum	-0.28734135222735296	12	0
possible_count	-0.28509850752185695	9	0
total_points	-0.2811646886731548	18	0
condition	-0.27940030202828914	38	4
parse_schematic	-0.279173292343037	14	2
r1	-0.27871570230233544	46	14
__main__	-0.27833739523454404	68	75
distance	-0.2782826101704622	114	25
13	-0.27286737807380457	63	34
__name__	-0.2725432856636891	68	76
match	-0.27248575498512867	86	82
wire_values	-0.2711682688823519	18	0
report	-0.27026444773180797	50	31
return	-0.27015409194866585	654	940
range	-0.26956564967983343	498	580
row	-0.26841077893761384	836	380
ops	-0.267840631494375	48	20
machine	-0.26611062779818156	53	25
other_end	-0.26610413490254675	20	0
new_stones	-0.265928763447722	24	9
travel_time	-0.2652814044493383	9	0
new_platform	-0.2629723836949039	24	0
leftmost_free	-0.26294153614412824	10	0
none	-0.26226166509287735	0	1
robot_row	-0.2610593407095399	63	0
rules_str	-0.26087410318155585	20	2
47	-0.260639428297943	36	13
is_decreasing	-0.2585023547438505	8	0
is_increasing	-0.2585023547438505	8	0
computer_connections	-0.25717835413323664	10	0
destination	-0.2571472301167877	46	4
calibration_values	-0.256023970102048	12	0
subsets	-0.25533055244357045	20	0
robot_col	-0.2552443178427981	63	0
total_distance	-0.2501770949357764	30	0
new_arr	-0.24912036063527743	10	0
command	-0.24783745843737714	6	7
col_diff	-0.24770931391646897	10	0
row_diff	-0.24770931391646897	10	0
temp_wiring	-0.2451706641390724	20	0
word_search	-0.24347319786334737	15	0
best_cost	-0.24083728989510686	9	0
digit	-0.24050664218535295	41	56
test_value	-0.23987749222449628	25	0
process_pulse	-0.23927537774277283	25	0
positions	-0.23837858043370386	34	42
row_index	-0.23807164373128298	10	0
with	-0.2373009159439534	188	148
numeric_part	-0.23636739074258345	8	0
current_secret	-0.2354772261873037	9	0
shortest_path	-0.23542685414651907	32	16
file_ids	-0.2340632669623513	6	0
disk_chars	-0.23372993807527315	4	0
levels	-0.23317732744143563	23	22
brick_key	-0.23114936812813686	5	0
new_brick_pos	-0.23114936812813686	5	0
curr_pos	-0.23069935407459202	4	0
curr_diffs	-0.22746121276526657	9	0
a_count	-0.22720784627393162	16	0
b_count	-0.22720784627393162	16	0
wiring_diagram	-0.2271848882882854	22	0
current_differences	-0.2260054267642475	16	0
key_height	-0.22515347872205954	20	0
stones	-0.2245366274373481	78	45
corrupted_coords	-0.2221069723294383	6	0
safety_factor	-0.221748914136085	18	5
vel	-0.22168699064688024	91	55
design_len	-0.2213868370731947	5	0
compact_disk	-0.21924930687595334	9	0
wires	-0.21866106610330457	31	39
computer1	-0.21761245349735414	9	0
computer2	-0.21761245349735414	10	0
low	-0.2175297862783828	108	75
current_id	-0.2174880569641678	7	0
or	-0.21533833638090877	2297	3738
c3	-0.214683405907704	9	0
next_value	-0.21376074854387853	25	0
new_springs	-0.21356313840007388	8	0
region_dict	-0.21308910661048244	20	0
val1	-0.21279990063174675	26	0
val2	-0.21279990063174675	26	0
dr	-0.21215532540605653	128	138
parse_input	-0.2121065184943829	16	0
calibration_value	-0.2112362460096254	19	7
memory_size	-0.21049008873825067	4	0
dc	-0.21043973484547185	109	107
lock_height	-0.2101596283277303	13	0
matching_numbers	-0.2100000405571663	12	0
pass	-0.20889067869199077	19	11
pos_parts	-0.2084501036464984	14	0
vel_parts	-0.2084501036464984	14	0
amount	-0.20837232703722747	5	0
components	-0.20694456364478747	41	7
page1	-0.20628157598580948	11	0
is_correct	-0.20608258332834306	15	0
divisor	-0.20602824000930478	12	0
tokens	-0.2050561783182246	15	0
heat_loss	-0.20488862167256502	46	0
51	-0.20426532535028716	19	1
ascii_code	-0.20298412740660976	10	0
hash_algorithm	-0.20298412740660976	10	0
initialization_sequence	-0.20298412740660976	10	0
false	-0.20220502010835825	0	2
half_len	-0.20142834701610074	6	0
location	-0.20076414613628285	40	33
safe	-0.2005034700746248	85	47
