word	coef	occ_gemini	occ_human
parts	-1.1009365891211402	290	31
solve	-1.051380073366254	419	228
line	-0.8702029554963957	681	405
result	-0.7821164496416761	214	49
rows	-0.7718917706723911	251	35
connections	-0.7241681731729084	80	23
input	-0.7131393316569243	357	517
direction	-0.6962241025801067	241	63
history	-0.6940960086911535	44	0
append	-0.6839715265898263	451	381
ny	-0.6813680210819638	59	64
secret	-0.6722782162803553	71	46
total_sum	-0.6672733677497587	44	0
cols	-0.6572934964320497	222	24
elif	-0.6466579838393794	339	161
module_name	-0.6398120052564752	59	0
computers	-0.5928354706256772	27	0
char	-0.5848855019973039	187	92
count	-0.5786982490272462	366	167
schematic	-0.5643230422718375	61	10
visited	-0.5632544224062443	226	78
except	-0.562774228160022	49	4
try	-0.5417087372395993	48	9
break	-0.540665060020229	181	101
txt	-0.5390632504818432	140	50
component	-0.5351220654908474	97	7
card	-0.5198538234631562	75	47
new_robot	-0.5138839112067286	66	0
lines	-0.5117732575577857	243	162
current_value	-0.5003135623392125	25	0
connection	-0.4888184659021541	102	24
grid_size	-0.4855286868594297	11	0
registers	-0.47710796022933843	49	16
hailstones	-0.47555395138407164	30	7
grid	-0.47465181713103377	536	397
platform	-0.4712086619880386	92	0
main	-0.47038103217509447	102	84
strip	-0.47029898073516846	269	189
safe_count	-0.469563745348159	12	0
if	-0.4562270316629876	1712	1730
keypad_char	-0.44760881270732106	24	0
true	-0.4449008423398858	0	5
current_pos	-0.43449951206181664	41	0
nc	-0.43301816779341196	381	177
hold_time	-0.4293327824479706	14	0
opcode	-0.42930769560960774	45	3
quadrant_counts	-0.4274053641940877	30	0
other_start	-0.4269692142564853	23	0
checksum	-0.4246351961990707	23	3
settled_bricks	-0.41626899630991265	24	0
float	-0.4132898329354763	56	6
possible	-0.40936466443240654	93	26
universe	-0.4078708817469861	113	0
expanded_universe	-0.401768070732649	67	0
file	-0.3988791193831659	125	197
design	-0.39832474361855913	47	18
nr	-0.39612481525279464	165	12
matches	-0.3958385442786521	18	0
queue	-0.39544516333670077	138	98
end_coords	-0.3941393756341934	27	0
total_complexity	-0.3880375185389783	15	0
disk_map	-0.38486122805449385	20	3
target_pos	-0.3847087352060086	11	0
inf	-0.3836826393735094	66	59
memory	-0.38227190857277776	26	21
c1	-0.37986144811835404	45	49
bfs	-0.37841728728179364	35	3
current_workflow	-0.3754788926744696	31	0
current_arrangement	-0.36965819857007287	28	0
mul_instructions	-0.36628723326764506	6	0
start_coords	-0.3651198811558428	28	0
apply_map	-0.36390619567324367	40	0
new_col	-0.3638503372455773	56	0
left_list	-0.3564220730783325	36	0
right_list	-0.3564220730783325	36	0
disk_repr_list	-0.3544164109670841	8	0
stone	-0.35344561685099857	106	80
machines	-0.352412437114739	36	12
int	-0.34883689414789587	688	1083
file_blocks	-0.34363677078487853	16	0
is_part_number	-0.3425102774710264	17	0
subset	-0.3407453977385609	34	0
counts_values	-0.3390750213288897	22	0
maps	-0.33722591797341583	51	9
left_half	-0.3344236399044032	10	0
right_half	-0.3344236399044032	10	0
file_lengths	-0.33430957641907244	8	0
diff_seq	-0.3333754476725243	16	4
neighbors	-0.3325061329473618	164	25
map_data	-0.3269906442259489	29	0
pulse_type	-0.3268204601651229	37	0
eoferror	-0.32644963654057996	0	0
update_nums	-0.3233148104146671	10	0
final_map	-0.32251195775728553	13	0
61	-0.3214815241056704	42	14
disk_blocks	-0.320767807815058	11	0
expression	-0.3202744031367657	24	0
new_robot_row	-0.32000192071628	34	0
memory_space_size	-0.31966179216058194	7	0
instruction_pointer	-0.31744055776527014	26	0
29	-0.31600453889098956	53	20
current_node	-0.3155817709717493	25	0
new_robot_col	-0.31418038634385437	34	0
temp_box	-0.3107205044505802	22	0
file_index	-0.3089795603398218	14	4
new_row	-0.3047004777571841	68	7
readlines	-0.29841963252360587	27	0
steps	-0.2923246610948001	78	103
possible_count	-0.29203173820417017	9	0
condition	-0.2905109563815849	38	4
match	-0.2902771460378726	86	82
game_id	-0.28999315220380056	19	0
wire_values	-0.2894412130167751	18	0
current_group_size	-0.28903929138461026	18	0
total_hash_sum	-0.28576971493280273	12	0
parse_schematic	-0.28569158323505106	14	2
instruction	-0.28282384138415917	80	124
97	-0.2826762840843079	36	10
53	-0.28012646798145935	39	15
return	-0.2780696749373179	654	940
__main__	-0.27764574973692735	68	75
range	-0.2768429693989464	498	580
total_points	-0.2745781238669352	18	0
distance	-0.2745714711709091	114	25
levels	-0.2744358273531158	23	22
travel_time	-0.27387702206612485	9	0
__name__	-0.27225728882987127	68	76
machine	-0.2711568475228744	53	25
report	-0.2706510060187416	50	31
other_end	-0.26921673956648795	20	0
destination	-0.268960687189095	46	4
ops	-0.2679555700674621	48	20
word_search	-0.2662066924512115	15	0
r1	-0.2642688080026995	46	14
positions	-0.2629512821989893	34	42
none	-0.26049221586811994	0	1
rules_str	-0.2601961418878666	20	2
new_platform	-0.259157897335715	24	0
row	-0.2585506567630672	836	380
13	-0.2570159272607512	63	34
computer_connections	-0.25602820091615786	10	0
47	-0.25339807160964645	36	13
disk_chars	-0.2533051102842987	4	0
robot_row	-0.25245720792333737	63	0
curr_pos	-0.2521610326444109	4	0
new_stones	-0.25157218433055173	24	9
file_ids	-0.2507321823143045	6	0
row_index	-0.2503340139590373	10	0
command	-0.24937678670426242	6	7
total_distance	-0.24831822450094213	30	0
leftmost_free	-0.24808612135175825	10	0
test_value	-0.24783092379191385	25	0
robot_col	-0.24682566276068685	63	0
digit	-0.2450676224029492	41	56
is_decreasing	-0.24495436708123872	8	0
is_increasing	-0.24495436708123872	8	0
best_cost	-0.24479389144721328	9	0
numeric_part	-0.244247373598289	8	0
calibration_values	-0.24319710354530485	12	0
process_pulse	-0.24297484746279377	25	0
new_arr	-0.24213032380190935	10	0
brick_key	-0.23866989792702722	5	0
new_brick_pos	-0.23866989792702722	5	0
subsets	-0.2381709770974812	20	0
with	-0.23783353110225505	188	148
shortest_path	-0.2375241611883402	32	16
col_diff	-0.23625133388421765	10	0
row_diff	-0.23625133388421765	10	0
wires	-0.23545822894035212	31	39
wiring_diagram	-0.2334903204047601	22	0
temp_wiring	-0.23268584379531201	20	0
safety_factor	-0.2316786976611408	18	5
current_id	-0.23152461177034261	7	0
a_count	-0.23126660977067573	16	0
b_count	-0.23126660977067573	16	0
current_secret	-0.23017417091817635	9	0
tokens	-0.22866393572942056	15	0
design_len	-0.22860042672107997	5	0
corrupted_coords	-0.22735473511943977	6	0
compact_disk	-0.2235175280211972	9	0
vel	-0.22244945430272817	91	55
current_differences	-0.2224482224944338	16	0
memory_size	-0.22008635937203977	4	0
valid_sets	-0.2180691348862912	3	0
low	-0.21778903196943855	108	75
parse_input	-0.2171741842824289	16	0
stones	-0.21703296359039087	78	45
computer1	-0.2166392469290567	9	0
computer2	-0.2166392469290567	10	0
calibration_value	-0.21570877569995198	19	7
components	-0.21481137578268045	41	7
found	-0.2131985138366107	31	17
curr_diffs	-0.21263822893667628	9	0
dr	-0.21235069408585439	128	138
divisor	-0.21222585791382553	12	0
page1	-0.21208778955296265	11	0
half_len	-0.21181845192728324	6	0
pass	-0.21158465879460092	19	11
region_dict	-0.21123523318670887	20	0
dc	-0.2105576073486893	109	107
key_height	-0.21018222710254136	20	0
51	-0.2082146788840219	19	1
next_value	-0.2073789067715532	25	0
